Student ID,Avg Absolute Error,Min Absolute Error,Max Absolute Error
S1,3.2736951856580134,0.4352775033180052,5.363981482192173
S2,10.654577322067189,2.4452731200535203,15.294834123492013
S3,4.812067249815186,2.259570950018386,6.156279388428118
S4,5.801578538849693,4.930484826691782,6.896492758839827
S5,1.9372925956900413,1.035744579083996,2.355016378195714
S6,10.654577322067189,2.4452731200535203,15.294834123492013
S7,1.1238906342179291,0.6662493464295807,1.8177448886918057
S8,3.7758949854287587,2.3715750675368383,4.497210556212991
S9,1.1913519210872796,0.028860179487793403,5.937303897109871
S10,3.102380609689515,1.541175790064571,4.627398042280852
S11,1.6848332543316953,0.28837461070988724,4.518878372530104
S12,4.182907395194047,1.8280956524890968,5.296678882397913
S13,6.500462266867935,2.9295707838367946,7.938732794041286
S14,7.814125182345275,6.026306345512282,9.909470954387615
S15,3.521904859588595,0.09974284221085838,5.849827840198685
S16,5.705079163729049,0.43093839658887134,7.2972512035029595
S17,2.470769517520369,0.674738963786794,6.1989127163189295
S18,1.382436385570628,0.18318575811518656,2.044368970227808
S19,1.6779246586903487,0.2113353287124653,4.660207215213347
S20,6.227273109815715,5.247666545377683,6.6803964134389275
S21,8.084021314825838,4.722734270027516,9.370100730792586
S22,0.7293937573751114,0.17288740145662018,1.878577086657188
S23,2.9909191503059844,0.7803993002352527,4.739417816272308
S24,4.956735901162776,1.342140226487814,6.468478336823672
S25,3.3347766746431353,0.18465851865309446,4.373136524371219
S26,9.942544077134583,0.5026517669468618,16.317164056772285
S27,3.4147984590609837,2.824324419115598,5.592650080871181
S28,3.5955646668592656,0.7301117765484406,5.058341793843766
S29,7.343968128599094,2.7633983229551546,9.451788054493804
S30,4.406852662653443,1.3052918199896482,5.414021413951836
S31,3.2665937129943905,0.04570051636478922,4.724725455364791
S32,2.724285282402794,1.9450770501410943,3.7098315276293903
S33,1.4746743114650893,0.4798943415876664,3.798185614502458
S34,1.7313763774077404,0.15470548333895096,2.48505142243242
S35,0.5321608445349616,0.080878195740965,2.224602921202802
S36,5.9503849163351825,4.677628294741027,8.538130112660738
S37,2.537352022799117,1.169558021175206,3.5971406610105845
S38,3.1806718053755176,0.4864050437626588,5.970978553322951
S39,3.838365293335547,0.044937610512207016,5.076825012752494
S40,1.4472911403184352,0.45553701348688946,3.6539786678188477
S41,2.8755890541707196,1.3395490217664872,4.281694639322424
S42,0.9565062520722117,0.036656936539991136,1.6753751008970426
S43,2.129142908888754,1.0536938890763707,5.157968680535944
S44,2.3687729503867865,0.5161146563158496,3.115241835490451
